drug1,drug2,cell,score,nor,index,true_label,predict_label,predict_score,smile1,smile2
5-FU,ABT-888,A375,-1.198505438,0.6433421,0,0,0,0.000918293,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
5-FU,ABT-888,HT144,-3.701354746,0.6383917,2,0,0,4.56E-08,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
5-FU,ABT-888,HT29,10.17343391,0.6658346,3,1,0,4.63E-07,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
5-FU,ABT-888,LOVO,-8.979213946,0.6279526,4,0,0,9.00E-06,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
5-FU,ABT-888,NCIH1650,-5.996370297,0.6338524,6,0,0,2.53E-13,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
5-FU,ABT-888,NCIH23,-5.042652306,0.6357388,7,0,0,7.71E-19,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
5-FU,ABT-888,OV90,-10.06884761,0.6257975,9,0,0,9.98E-14,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
5-FU,ABT-888,RKO,-2.677587786,0.6404166,10,0,0,0.000645238,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
5-FU,ABT-888,RPMI7951,-2.17322193,0.6414142,11,0,0,9.72E-05,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
5-FU,ABT-888,SKMES1,-0.086424579,0.6455417,13,0,0,0.00803296,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
5-FU,ABT-888,SW837,-14.52310863,0.6169874,14,0,0,2.99E-19,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
5-FU,ABT-888,UACC62,-1.583963783,0.6425797,16,0,0,3.77E-07,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
5-FU,AZD1775,A2058,13.05268744,0.6715295,18,1,1,0.998187363,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
5-FU,AZD1775,A2780,11.27727295,0.6680179,19,1,1,0.927058578,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
5-FU,AZD1775,ES2,10.05752609,0.6656053,21,1,0,0.001589087,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
5-FU,AZD1775,HCT116,13.96127138,0.6733266,22,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
5-FU,AZD1775,HT29,-2.712205241,0.6403481,23,0,1,0.722142875,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
