	Nutlin-3	Nilotinib	RAF265	PHA-665752	PD-0325901	PLX4720	PD-0332991	LBW242	AEW541	TAE684	TKI258	AZD0530	Lapatinib	crizotinib	Sorafenib	L-685458	AZD6244	vandetanib	Erlotinib	17-AGG	Irinotecan	paclitaxel	Panobinostat	Topotecan
Nutlin-3	1	0.445283019	0.543396226	0.431654676	0.405982906	0.443636364	0.475609756	0.52	0.581300813	0.529850746	0.464285714	0.622710623	0.565972222	0.614457831	0.616935484	0.537735849	0.416949153	0.544444444	0.555984556	0.409302326	0.536121673	0.534693878	0.441176471	0.525096525
Nilotinib	0.445283019	1	0.650793651	0.575875486	0.541284404	0.690376569	0.761904762	0.502415459	0.590361446	0.538745387	0.634146341	0.535836177	0.590277778	0.543396226	0.64516129	0.429184549	0.720647773	0.588014981	0.583011583	0.336206897	0.53358209	0.387681159	0.650943396	0.546153846
RAF265	0.543396226	0.650793651	1	0.465986395	0.38697318	0.586715867	0.590361446	0.404166667	0.736625514	0.640740741	0.523206751	0.652777778	0.640677966	0.647727273	0.682170543	0.365019011	0.555172414	0.724137931	0.73015873	0.287356322	0.589090909	0.349834983	0.553719008	0.573529412
PHA-665752	0.431654676	0.575875486	0.465986395	1	0.519480519	0.643137255	0.515748031	0.502304147	0.427083333	0.489655172	0.52173913	0.444099379	0.530744337	0.467128028	0.560885609	0.438016529	0.577060932	0.407051282	0.416666667	0.342975207	0.521428571	0.401408451	0.6367713	0.516363636
PD-0325901	0.405982906	0.541284404	0.38697318	0.519480519	1	0.50862069	0.483568075	0.529761905	0.384615385	0.349442379	0.552486188	0.370242215	0.427561837	0.392156863	0.487394958	0.55	0.552301255	0.41221374	0.424	0.497076023	0.463114754	0.516129032	0.6	0.480851064
PLX4720	0.443636364	0.690376569	0.586715867	0.643137255	0.50862069	1	0.634042553	0.444444444	0.576923077	0.550359712	0.517391304	0.506493506	0.65034965	0.560885609	0.604562738	0.38247012	0.662878788	0.505154639	0.519713262	0.333333333	0.4604811	0.373702422	0.617777778	0.485714286
PD-0332991	0.475609756	0.761904762	0.590361446	0.515748031	0.483568075	0.634042553	1	0.5	0.58649789	0.600806452	0.640625	0.535714286	0.542253521	0.556	0.583673469	0.435779817	0.588235294	0.578125	0.572580645	0.342592593	0.545454545	0.385496183	0.594202899	0.528
LBW242	0.52	0.502415459	0.404166667	0.502304147	0.529761905	0.444444444	0.5	1	0.427927928	0.346613546	0.6	0.349090909	0.368231047	0.392405063	0.462222222	0.727891156	0.418032787	0.358267717	0.356557377	0.509803922	0.456140351	0.497536946	0.557471264	0.454954955
AEW541	0.581300813	0.590361446	0.736625514	0.427083333	0.384615385	0.576923077	0.58649789	0.427927928	1	0.633204633	0.476190476	0.646209386	0.633802817	0.721991701	0.598455598	0.406639004	0.496527778	0.706349206	0.719008264	0.316666667	0.61003861	0.414545455	0.527896996	0.587548638
TAE684	0.529850746	0.538745387	0.640740741	0.489655172	0.349442379	0.550359712	0.600806452	0.346613546	0.633204633	1	0.459677419	0.673684211	0.644067797	0.645283019	0.593406593	0.353383459	0.472312704	0.645985401	0.642857143	0.271698113	0.526132404	0.348684211	0.428030303	0.474226804
TKI258	0.464285714	0.634146341	0.523206751	0.52173913	0.552486188	0.517391304	0.640625	0.6	0.476190476	0.459677419	1	0.436363636	0.434163701	0.450819672	0.515021459	0.455497382	0.561181435	0.464285714	0.454918033	0.363636364	0.502109705	0.383966245	0.612021858	0.515283843
