	Nutlin-3	Nilotinib	RAF265	PHA-665752	PD-0325901	PLX4720	PD-0332991	LBW242	AEW541	TAE684	TKI258	AZD0530	lapatinib	Crizotinib	Sorafenib	L-685458	AZD6244	Vandetanib	Erlotinib	17-AAG	Irinotecan	paclitaxel	Panobinostat	Topotecan
42-MG-BA	0.903089987	0.865497414	0.688053273	0.903089987	0.768681766	0.903089987	0.903089987	0.903089987	0.428479801	0.451416582	-0.639695716	0.662564198	0.903089987	0.903089987	0.903089987	0.514249143	0.903089987	0.903089987	0.903089987	-1.275412091	-0.305747317	-2.594719566	-1.161415444	-1.405673958
5637	0.903089987	0.873631803	0.027213204	0.903089987	0.903089987	0.572691859	0.903089987	0.903089987	0.699170957	0.393240705	0.775406691	0.504095081	0.363192077	0.859474779	0.855285062	0.903089987	0.903089987	0.53127493	0.387303046	-1.149826969	-1.173637686	-2.534592311	-1.311651905	-0.76069593
639-V	0.903089987	0.903089987	0.444044531	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.239595094	0.345879452	0.520346928	0.903089987	0.903089987	0.753010292	0.903089987	0.903089987	0.903089987	0.620026447	0.903089987	-0.823635239	-1.157585968	-2.602059991	-1.088809034	-1.359346758
697	0.27658212	0.281132122	-0.737412222	0.515269898	0.903089987	0.230338692	-0.071819139	0.903089987	0.629493373	-0.075488494	-0.101874436	0.861049263	-0.070848771	0.378356501	0.804994956	-0.477695747	0.903089987	0.749167512	0.626644628	-0.374100062	-1.45603075	-2.594719566	-1.939183821	-1.470975009
769-P	0.747512944	0.903089987	0.026265882	0.854331013	0.162645545	0.903089987	0.826050341	0.903089987	0.903089987	0.823415105	0.629266533	0.029915176	0.024264418	0.89558785	0.903089987	0.903089987	0.903089987	0.40943255	0.366441136	-0.818731662	-0.13028853	-0.689176981	-1.058220034	-0.290232101
8-MG-BA	0.903089987	0.901006211	0.535290156	0.903089987	0.903089987	0.903089987	0.903089987	-1.376899584	0.589764339	0.376395086	-0.272079526	0.652390103	0.718220918	0.903089987	0.903089987	0.903089987	0.903089987	0.35124335	0.887695395	-0.629019691	-0.21283179	-2.602059991	-0.947859368	-0.498571017
8505C	0.903089987	0.835850855	0.151163827	0.903089987	-0.422642214	0.903089987	0.903089987	0.903089987	0.903089987	0.813521196	0.885907438	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.549481551	-0.904147422	-1.991068401	-1.162082595	-1.062736641
A172	0.903089987	0.903089987	0.5624377	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.403261362	0.656539785	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.572678514	-0.293621255	-1.509816701	-0.994099812	-0.548307388
A2058	0.903089987	0.903089987	0.741228357	0.903089987	-0.692719565	0.903089987	0.903089987	0.903089987	0.741395168	0.692646197	0.75016155	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.702126452	0.903089987	0.903089987	-1.371642391	-0.837959051	-2.543151955	-1.163296821	-0.513588669
A2780	0.609138494	0.832808611	0.097017561	0.903089987	-1.192484786	0.903089987	0.903089987	0.903089987	0.813507865	0.174494199	0.144565666	0.903089987	0.854104184	0.483226472	0.602660441	0.810979349	0.198551773	0.398010868	0.903089987	-1.507101399	-1.209123641	-2.332651384	-1.260134254	-1.194753105
