	AICAR	AKT inhibitor VIII	AS601245	AZD6482	AZD7762	AZD8055	BIBW2992	BMS-708163	Axitinib	BAY 61-3606	BMS-754807	BX-795	Bexarotene	Bicalutamide	Bleomycin	Bosutinib	Bryostatin 1	CCT018159	CCT007093	CHIR-99021	CI-1040	Cisplatin	Cytarabine	DMOG	LAQ824	NVP-BEZ235	Docetaxel	BIRB 0796	Doxorubicin	EHT 1864	Elesclomol	embelin	Epothilone B	etoposide	FH535	FTI-277	GSK-1904529A	GSK-650394	GW 441756	Gefitinib	Gemcitabine	IPA-3	JNK Inhibitor VIII	JNK-9L	KU-55933	LFM-A13	lenalidomide	CEP-701	OSI-906	MK-2206	Methotrexate	Midostaurin	Mitomycin-C	AMG-706	NSC-87877	NU-7441	ABT-263	Nilotinib	Nutlin-3	OSU-03012	Obatoclax Mesylate	AZD-2281	pac-1	PD-0325901	PD173074	PF-4708671	PF-562271	PLX4720	PD-0332991	Pazopanib	GDC-0449	AP-24534	QS11	RO-3306	RDEA119	AG-014699	SB 216763	SB590885	SL 0101-1	Camptothecin	GDC-0941	AZD6244	JNJ-26854165	shikonin	TW 37	17-AAG	temsirolimus	thapsigargin	Tipifarnib	ATRA	VX-702	ABT-888	Vinblastine	Vinorelbine	AUY922	Vorinostat	681640	ZM-447439
22RV1	3.965135546	0.820479993	1.936569907	1.890533247	0.257325995	-0.150477826	1.533713134	1.88382658	1.24522651	1.541535647	0.268938595	1.359384289	1.685460838	1.580311195	0.865063795	1.778512339	-0.391473915	1.596996789	1.877215315	2.295400511	2.16030279	1.402975729	0.440609992	2.483575967	-2.262108799	-1.308966174	-2.409294239	2.370662877	-1.672779439	1.60305042	-1.946915236	1.353020572	-2.075131996	0.184843549	0.419909346	1.960662394	1.892820818	2.157571512	1.064707232	1.7019662	-1.015577668	3.070177958	2.843543555	0.005782631	2.90565418	2.635017493	2.58675261	0.146016754	0.763442361	1.333820847	-0.270121179	0.987837108	-0.841426015	1.992620822	3.304127184	2.042216817	2.175852704	2.19108732	1.107410105	1.226849774	-0.562592455	2.470662655	1.623024057	0.672769056	2.076377118	1.680349192	0.885347085	2.908805855	0.224902003	2.242880411	2.490044349	1.60031697	1.327093626	2.390735533	1.514136442	1.162389615	2.970015319	2.014856265	2.784563324	-2.030853936	0.390258759	1.805276171	1.365237276	0.664166117	0.0120191	0.543034871	-0.67379486	-2.931315338	0.507752788	2.987153014	1.73783849	2.651121567	-2.008102986	-2.056150721	-1.455069352	0.413758867	1.607273065	2.082147155
23132-87	3.866856008	-0.119539122	0.85139872	0.527096233	-0.59560535	-0.175110141	1.35041524	1.947032061	2.135857656	1.449513857	1.638774181	1.397454544	2.355634116	1.561894503	-0.881221287	1.440264253	-1.314898203	1.142171904	2.510938691	1.969266636	1.138719263	2.426279931	-0.771170631	4.812940913	-1.357182416	-0.620721034	-2.312936454	2.414424126	-1.812030753	2.129153452	-0.962933794	1.367284974	-2.435901725	-0.299824316	0.544544913	1.51007492	1.518964928	1.014129296	1.273969422	1.568484053	-1.366025955	3.070434627	2.755658855	-0.20542433	1.645784563	2.509458181	2.754891456	-0.372933449	1.762888161	-0.046794362	-0.642533474	0.666365818	-1.515220875	1.338012223	2.984786977	1.205493777	1.584957277	2.371874558	1.319969025	1.228527887	-0.081742039	2.67471114	1.199438843	0.025172142	2.284153153	1.73763828	0.839416101	2.932808442	1.699245779	2.350832122	3.013241083	1.615668412	0.783343906	2.771388566	0.477486371	2.606176431	2.447706719	2.768040156	2.986542396	-1.94484452	-0.108009038	2.678499925	1.182013646	0.323932002	-0.271901352	-0.679137551	-0.977886987	-1.503007212	0.826192268	2.740049877	2.426133139	2.678103849	-1.82605499	-2.158316761	-0.979319291	0.187712932	1.625344058	2.123343461
639-V	3.538460327	1.290422234	0.684452446	0.506095181	-0.235257321	0.207198423	0.709713619	2.745641852	0.209652621	0.154659214	-0.004332087	0.9673041	1.471991637	1.738948112	-0.65844255	0.857458865	-1.105011062	1.70911903	2.362447328	2.17232493	0.611660783	0.375743334	-0.053939375	3.183092352	-1.389448325	-1.307417046	-2.825041307	2.558815749	-1.798229309	2.269618185	-2.194483503	2.240278987	-3.66147641	0.003445692	0.20686141	1.661151638	1.401512591	0.713539319	0.853370851	0.471636424	-0.714135606	1.653941482	1.31142211	-0.658256238	0.868106897	2.658821608	1.691329893	0.525982733	1.431756859	0.756071515	1.102683244	-0.035917022	-2.754629142	1.124277669	1.44186376	0.091280449	1.467265644	1.964623159	1.641434669	-0.617622343	-0.806983857	1.128393912	2.228655964	-1.980690752	0.605212378	1.927436694	0.829385201	2.960378759	1.326651514	2.496328591	1.682489395	0.389841836	0.060611006	0.952876837	0.68974389	2.512070897	2.238230854	2.724994624	2.264504802	-2.986914152	-0.124928716	1.729510024	1.039542038	-0.576737426	-0.282843836	-0.71415428	-1.832287551	-3.290890757	0.07680107	3.091686827	1.901404649	1.5287422	-2.324433098	-2.179847344	-2.314079083	0.244008789	2.135620531	1.831317771
647-V	3.033641632	0.769178088	2.207380746	1.3815881	-0.41926355	0.065198893	0.970675093	2.370109585	2.21855992	0.863168969	1.622039946	1.683685876	2.143484736	1.865392082	0.238901486	0.600290084	0.003007489	1.902364874	2.259413133	2.497859913	0.986943765	2.003417817	-0.064295561	1.970794484	-1.237375769	-1.018123503	-2.562128548	2.830889082	-1.725706473	1.168278214	-2.162000447	1.38992822	-2.61696778	-0.312169571	0.489526751	0.67303441	1.729179526	1.782346291	2.084678657	0.087497309	-3.60542593	3.419894024	2.910042291	-0.396391431	1.23400825	2.962043844	2.714771766	0.079480667	1.739120093	1.814769848	0.828866219	1.082686155	-1.058548502	2.361139233	3.198336089	0.98489346	1.958863546	2.333106393	2.927051	0.983676567	-0.982648592	2.261225444	1.237916031	0.07663517	2.09372892	1.091955736	0.749769034	2.97167389	2.554176181	1.530610969	2.938045165	-0.166548025	1.286715531	2.514496866	1.252527869	1.725690404	2.392515706	2.877320374	2.718052861	-3.260055849	0.792560938	2.430212467	1.202134509	-0.445482342	-1.053410364	1.594268117	-0.602783369	-1.862916603	0.362585949	2.12478141	2.152420779	2.604168688	-1.614292567	-1.680123359	-0.825598587	0.661365352	1.203046093	2.210548056
697	2.932297278	0.855970972	0.932485408	0.604456104	-1.164311802	-1.065121549	0.668461289	2.994446121	0.372962112	-0.235169159	0.880050864	-0.011462334	2.340667025	2.308309046	0.197543622	-0.690031828	-1.544658658	0.871268995	2.73788709	1.733642771	0.899152004	1.012432073	-2.274914406	2.360633714	-2.043900577	-1.700384065	-2.528591025	1.737254363	-1.71913386	1.282956278	-1.982745399	1.632098641	-2.749246931	-0.614038111	2.74615128	1.839848617	1.634607125	1.530908026	1.255398121	1.804195646	-2.204340684	2.169687893	2.244340075	-0.42877373	0.900351525	2.020052164	2.08148833	-1.677301747	1.067283032	-0.376687925	-1.74923568	-0.173071997	-3.89187441	1.744619129	2.828472667	0.419928889	-0.909391799	0.486225245	0.305607381	0.229124648	-1.273829145	0.487805208	-0.040830196	0.320475018	0.183749995	1.27819337	0.581673183	0.660299159	-1.271477875	1.343214637	1.553239883	-0.724200815	0.521221563	1.2956633	1.112483533	0.181001346	1.720961372	2.339547848	2.380388901	-2.324506928	-0.809725993	2.41638236	0.600775191	-0.057670833	-1.027849093	0.196020552	-1.96982427	-3.371342941	0.108191441	2.078380084	1.590225704	2.469713722	-2.257861834	-2.373867536	-1.692262324	-0.39210147	0.395039472	-0.025245104
769-P	4.027719552	1.545753949	2.25947046	1.365146248	-0.65173878	0.435014976	0.359905049	2.174639285	1.918174496	-0.008737136	0.688591273	1.228072313	2.174773482	1.807897138	-0.910801519	0.229416494	-1.135291377	1.91051137	2.582489576	-0.232851764	1.10695149	1.208302359	-0.642340213	4.532197325	-1.545467749	-1.9814803	-0.678496966	2.245237327	-1.682775595	1.483062672	-2.007846752	0.927906207	-3.122994248	0.353441444	0.827791774	1.683037475	1.657226051	0.689189731	1.956773721	0.106931987	-3.909652689	1.775171312	2.748956388	-0.272024692	2.329852224	3.00727822	2.310222548	0.206616903	1.827633217	1.510063194	-1.34433034	-0.917845775	-2.147989673	1.934020599	2.822950613	2.131826101	0.590518893	1.292998035	1.823811859	0.39653388	-2.16889878	1.395266568	0.65619247	0.077642733	1.752840758	2.138550716	1.079868886	2.019807222	0.686570501	2.039792585	2.055339894	1.315486237	0.560898272	1.938843005	1.272924509	0.636976677	2.118932332	2.354112348	1.44379333	-1.596142966	0.582907448	0.573173171	0.260606221	-0.162031797	-0.863794787	-0.672028584	-0.404232618	-1.490390088	0.622459949	2.067823688	2.191877736	2.481978198	-1.592535716	-1.77148502	-1.969585408	0.768429365	0.008834418	1.539598693
8-MG-BA	4.208247517	1.446524608	0.565520903	1.444746806	-0.588923729	0.29712561	1.567595053	2.726515089	0.63008008	0.98578637	0.305285135	0.291689546	1.135457711	1.95303792	0.170124875	0.727768978	-0.310733793	2.282425529	2.434043813	1.881439697	1.115461056	0.731110005	-0.467630058	2.099442933	-1.303201784	-1.428840571	-3.129962068	2.885415623	-1.655152729	1.85221385	-2.039040822	0.548030995	-2.320627375	-1.329059243	0.567899099	1.4143942	1.879137936	1.192293396	2.127102279	0.7919564	-2.226927472	3.339522185	2.771579656	-0.934157442	1.970774506	1.918538869	2.600739933	-0.906699173	1.247107874	1.280228908	1.338568989	-0.703106263	-0.982953901	1.997793703	2.640484827	1.138344467	2.182689802	1.92851027	2.588227474	0.188869893	-1.1078444	0.939013723	2.363479646	0.403529061	2.034847274	2.605906734	0.730036864	0.791079125	2.219575735	1.555803089	1.743385299	-0.251378332	0.54891131	0.496997051	1.53534087	0.65618943	2.61999959	2.200953188	2.462325938	-2.823351901	0.688915257	1.903945706	0.908194883	-1.067734698	-0.812598416	-1.023539589	-0.388884217	-2.700064818	0.329142233	2.811830069	2.458734323	2.230840465	-2.198227555	-2.471783135	-1.724807918	0.369041736	0.191311497	0.688998207
8505C	3.30151056	1.687661408	0.462375529	1.822358083	-0.508338217	0.094812131	1.383100242	2.629466776	0.55153358	0.248085511	0.133520798	0.641182384	1.328031268	1.990918387	0.017023909	0.56014868	-1.434155902	1.219425509	2.789377044	1.555450442	0.392946607	1.124916081	0.409283463	2.831024582	-1.80567051	-1.396029189	-2.963316327	1.899556291	-1.708626105	1.962720949	-2.103778929	1.148246381	-3.34610522	-0.159420818	0.425860483	1.397886667	1.570840101	0.891113647	1.726521644	1.285501678	-2.973435388	1.051003504	2.215286643	0.100830584	1.552762593	2.392370218	2.755868619	-0.36211083	1.737366411	1.188931522	1.230667222	-0.559029937	-0.366702626	1.674098826	3.10686151	1.425321918	0.592129691	0.818167374	1.797927908	0.182166558	-1.517151749	1.204656023	0.644210285	-0.961617448	2.342722541	2.07110652	1.100782771	1.66292052	1.007357777	1.985362024	1.652833162	-0.13822247	0.659771057	1.330542358	0.363268659	1.376967136	2.348607065	2.353014886	2.964245283	-2.520933545	0.930285272	2.056571987	1.568868838	0.491287815	-0.655042893	-0.0393562	-1.20896683	-4.118073216	-0.365427537	2.184775284	1.799547392	2.167582434	-2.540128926	-2.354650005	-2.085438238	0.086030263	1.981756077	0.775434969
A101D	2.592084878	1.594697634	0.347262302	1.219940071	-0.255777301	-0.321151649	1.387407141	2.266563358	0.694485518	0.687593264	-0.010345763	0.538519077	2.476828768	2.035687634	-0.207807304	0.448396024	-1.084540592	2.312523006	2.702568091	1.284273927	-0.127491922	0.574524261	0.002062899	2.213089547	-1.396793982	-1.628133532	-2.239545898	2.820329646	-1.288344569	2.612032458	-1.746256419	0.803857371	-3.067530065	0.078501768	0.657732044	0.721014396	1.280394809	0.967197697	1.423151748	0.620408776	-2.028142636	2.360073474	2.717724969	-0.610278858	1.362367892	2.819727279	1.739995196	-0.417279258	2.030504764	1.107634201	0.54042867	-0.230702875	-0.589299828	1.848528861	2.696166591	0.924298088	0.928686634	0.841071631	0.55238914	0.43499717	-1.515051066	0.859744991	0.712455755	-1.607175349	0.714549054	2.762224084	0.732143626	-0.131809678	0.586735754	1.960089994	1.10793951	0.222147708	1.153421	1.56348793	-0.195592337	2.385741147	1.491058902	0.225245096	1.761598306	-2.395580522	-0.056090001	2.064347595	1.510676418	-3.147430695	-1.057971324	-0.204813712	-1.140922005	-2.317092218	0.270968488	1.751700735	0.434152902	0.795298296	-2.035854403	-2.061772229	-1.701748184	0.047055373	2.022765202	0.898271254
A172	5.08528872	1.628962166	0.333943359	1.412841809	0.193592845	0.302868049	1.374961998	1.551577404	0.6077226	0.346226944	0.183897655	0.647940006	1.818208592	1.856740501	1.599083574	2.235559075	-0.010700147	0.866129554	1.541787103	0.574607212	1.389658089	1.966282164	0.153857072	2.752578404	-0.959986672	-1.465983418	-2.685920281	2.749937459	-1.093954359	1.572987253	-1.600638348	0.943262426	-2.715685522	0.936998162	0.771768221	0.7536247	1.561635664	1.4029627	1.962661451	1.077292217	-1.607174046	1.689196639	2.861342245	-0.174587685	2.936759219	1.811350648	2.213431771	0.089198441	1.611203864	0.894381362	0.277813837	-0.535360888	-0.269602197	1.753570373	2.179081249	1.029136342	2.252837046	2.139232559	0.427466504	0.706360432	-0.052084937	2.073479071	1.686507053	0.355203736	0.231355619	1.561324709	1.083526949	3.022271803	1.081692468	0.572627263	2.547013362	-0.529048418	0.789401011	0.771432945	1.068732972	1.143003144	2.714297082	2.226100295	2.951959526	-1.976523697	0.449011774	1.868914871	1.12010323	-0.328131196	-0.100270779	-0.642145215	-1.776334787	-3.594677576	1.005488139	1.741043149	2.122662053	2.426817587	-1.923024697	-1.856330962	-1.403424355	0.895517827	1.841346933	-0.006954792
