	AICA_Ribonucleotide	AKT_inhibitor_VIII	AS601245	AZD6482	AZD7762	AZD8055	Afatinib	Avagacestat	Axitinib	BAY-61-3606	BMS-754807	BX795	Bexarotene	Bicalutamide	Bleomycin	Bosutinib	Bryostatin_1	CCT-018159	CCT007093	CHIR-99021	CI-1040	Cisplatin	Cytarabine	DMOG	Dacinostat	Dactolisib	Docetaxel	Doramapimod	Doxorubicin	EHT-1864	Elesclomol	Embelin	Epothilone_B	Etoposide	FH535	FTI-277	GSK1904529A	GSK650394	GW441756	Gefitinib	Gemcitabine	IPA-3	JNK_Inhibitor_VIII	JNK-9L	KU-55933	LFM-A13	Lenalidomide	Lestaurtinib	Linsitinib	MK-2206	Methotrexate	Midostaurin	Mitomycin-C	Motesanib	NSC-87877	NU7441	Navitoclax	Nilotinib	Nutlin-3a	OSU-03012	Obatoclax_Mesylate	Olaparib	PAC-1	PD0325901	PD173074	PF-4708671	PF-562271	PLX-4720	Palbociclib	Pazopanib	Pictilisib	Ponatinib	QS11	RO-3306	Refametinib	Rucaparib	SB216763	SB590885	SL0101	SN-38	STF-62247	Selumetinib	Serdemetan	Shikonin	TW_37	Tanespimycin	Temsirolimus	Thapsigargin	Tipifarnib	Tretinoin	VX-702	Veliparib	Vinblastine	Vinorelbine	Vismodegib	Vorinostat	Wee1_Inhibitor	ZM447439
AICA_Ribonucleotide	1	0.303317536	0.315352697	0.358744395	0.28125	0.364	0.388679245	0.323275862	0.28125	0.43083004	0.4	0.4	0.129032258	0.216450216	0.48627451	0.277192982	0.204081633	0.245136187	0.139896373	0.348739496	0.235555556	0.028571429	0.47972973	0.214765101	0.346846847	0.312236287	0.253968254	0.314393939	0.20610687	0.296747967	0.202020202	0.161676647	0.294930876	0.177165354	0.139130435	0.254385965	0.36026936	0.358024691	0.35426009	0.355805243	0.447368421	0.105263158	0.349593496	0.379912664	0.188340807	0.235294118	0.257009346	0.391304348	0.405172414	0.305936073	0.438818565	0.381322957	0.347826087	0.375545852	0.250909091	0.18503937	0.229323308	0.399141631	0.296747967	0.27826087	0.308457711	0.226244344	0.246575342	0.295238095	0.353413655	0.370044053	0.355648536	0.343873518	0.423255814	0.329268293	0.34469697	0.369047619	0.247104247	0.31779661	0.253164557	0.307053942	0.308016878	0.397590361	0.174796748	0.338709677	0.31981982	0.399224806	0.278026906	0.160714286	0.217391304	0.322580645	0.282926829	0.219895288	0.402654867	0.122807018	0.373831776	0.42081448	0.326315789	0.325174825	0.272	0.238095238	0.276752768	0.387218045
AKT_inhibitor_VIII	0.303317536	1	0.566502463	0.591623037	0.608938547	0.480519481	0.481927711	0.495145631	0.537383178	0.506224066	0.552995392	0.541463415	0.359116022	0.484210526	0.376811594	0.42578125	0.209183673	0.401746725	0.292397661	0.555555556	0.49197861	0.028368794	0.30952381	0.151898734	0.595744681	0.668449198	0.390350877	0.539823009	0.331932773	0.488372093	0.512658228	0.181818182	0.293577982	0.310043668	0.429347826	0.534759358	0.47810219	0.518348624	0.620320856	0.469635628	0.307692308	0.331578947	0.48	0.601010101	0.407407407	0.488235294	0.616766467	0.521551724	0.618811881	0.688235294	0.554545455	0.561403509	0.345945946	0.612244898	0.425619835	0.378995434	0.497716895	0.626865672	0.502347418	0.638888889	0.552941176	0.554285714	0.505494505	0.508287293	0.48245614	0.642105263	0.585365854	0.495614035	0.615789474	0.56937799	0.521367521	0.587155963	0.479452055	0.544554455	0.439613527	0.556650246	0.547263682	0.530701754	0.283185841	0.520547945	0.580645161	0.508333333	0.625	0.292079208	0.404166667	0.320855615	0.294117647	0.193877551	0.62244898	0.237179487	0.594594595	0.615384615	0.463320463	0.450381679	0.497652582	0.546052632	0.464135021	0.485943775
AS601245	0.315352697	0.566502463	1	0.447698745	0.549295775	0.517786561	0.516605166	0.483050847	0.648888889	0.569767442	0.63362069	0.696682464	0.24137931	0.446428571	0.523465704	0.474637681	0.152892562	0.364661654	0.315	0.700934579	0.377682403	0.021857923	0.212962963	0.092682927	0.590697674	0.669811321	0.277580071	0.477272727	0.233676976	0.567099567	0.39800995	0.123222749	0.372881356	0.221428571	0.367713004	0.412017167	0.510135135	0.573839662	0.597222222	0.528301887	0.211981567	0.266094421	0.494023904	0.669767442	0.350877193	0.378504673	0.418181818	0.452205882	0.684931507	0.574162679	0.6	0.463235294	0.238297872	0.657407407	0.488461538	0.365079365	0.439688716	0.65470852	0.371212121	0.524886878	0.52238806	0.383259912	0.373913043	0.381578947	0.557377049	0.726829268	0.675799087	0.589211618	0.638497653	0.712962963	0.700854701	0.596707819	0.345588235	0.701923077	0.343873518	0.504201681	0.541484716	0.551587302	0.207272727	0.459143969	0.796791444	0.524528302	0.699481865	0.21686747	0.358422939	0.240343348	0.204724409	0.131147541	0.578947368	0.163366337	0.552995392	0.586666667	0.422297297	0.411371237	0.556034483	0.385	0.430147059	0.514705882
AZD6482	0.358744395	0.591623037	0.447698745	1	0.620512821	0.561181435	0.55078125	0.442060086	0.525641026	0.557768924	0.46	0.542600897	0.505494505	0.483253589	0.462365591	0.455555556	0.358974359	0.44813278	0.276923077	0.452282158	0.582474227	0.023668639	0.362637363	0.228070175	0.547169811	0.484716157	0.582568807	0.566666667	0.474358974	0.519650655	0.475138122	0.296511628	0.377777778	0.389830508	0.392344498	0.632124352	0.535460993	0.602678571	0.561320755	0.521400778	0.345945946	0.36407767	0.597345133	0.533333333	0.492385787	0.494680851	0.602150538	0.536290323	0.504237288	0.551724138	0.644444444	0.56097561	0.435233161	0.622641509	0.468503937	0.473214286	0.547826087	0.584821429	0.560538117	0.49537037	0.497435897	0.554404145	0.540816327	0.627027027	0.525	0.47826087	0.561946903	0.518518519	0.587677725	0.47107438	0.471264368	0.526530612	0.517241379	0.497797357	0.481818182	0.54954955	0.506666667	0.514056225	0.445454545	0.611607143	0.470319635	0.505791506	0.488151659	0.45959596	0.514522822	0.494565217	0.46	0.323232323	0.524229075	0.3	0.631313131	0.587962963	0.541666667	0.528089888	0.515283843	0.547058824	0.506024096	0.611336032
AZD7762	0.28125	0.608938547	0.549295775	0.620512821	1	0.399209486	0.432330827	0.502347418	0.608490566	0.476377953	0.47257384	0.64	0.402173913	0.606557377	0.420289855	0.365942029	0.257575758	0.353658537	0.447204969	0.458515284	0.616666667	0.026143791	0.247311828	0.175757576	0.514563107	0.493087558	0.436681223	0.434262948	0.359504132	0.515981735	0.559006211	0.246987952	0.38028169	0.294605809	0.447368421	0.689265537	0.452961672	0.484848485	0.582914573	0.394052045	0.259459459	0.325	0.480686695	0.495454545	0.463157895	0.514285714	0.668639053	0.471774194	0.454935622	0.533333333	0.532467532	0.489878543	0.388297872	0.6	0.39453125	0.502392344	0.634615385	0.569444444	0.437229437	0.550505051	0.46031746	0.595505618	0.466666667	0.637931034	0.422764228	0.479452055	0.56744186	0.555066079	0.556097561	0.484716157	0.508196721	0.52991453	0.467248908	0.588235294	0.441860465	0.56937799	0.516431925	0.415686275	0.324561404	0.468085106	0.553299492	0.490039841	0.505050505	0.365	0.510822511	0.407608696	0.326923077	0.236180905	0.513761468	0.273291925	0.64171123	0.579710145	0.40647482	0.395017794	0.591346154	0.603896104	0.441767068	0.446969697
AZD8055	0.364	0.480519481	0.517786561	0.561181435	0.399209486	1	0.692607004	0.406015038	0.446886447	0.688976378	0.492592593	0.474903475	0.350649351	0.364705882	0.467105263	0.602230483	0.278481013	0.599173554	0.210970464	0.552	0.352941176	0.014423077	0.282511211	0.117117117	0.50617284	0.56846473	0.418518519	0.662650602	0.450757576	0.556451613	0.343612335	0.202764977	0.364705882	0.4296875	0.305555556	0.38976378	0.682142857	0.581673307	0.476	0.722891566	0.269911504	0.3930131	0.65560166	0.622881356	0.443478261	0.345991561	0.360323887	0.496428571	0.630705394	0.534782609	0.6	0.523465704	0.285714286	0.528	0.556818182	0.483870968	0.402135231	0.541176471	0.581967213	0.485596708	0.520737327	0.396694215	0.504424779	0.395061728	0.74137931	0.561983471	0.533333333	0.490842491	0.573839662	0.5390625	0.562962963	0.525925926	0.517509728	0.5	0.497942387	0.463601533	0.444444444	0.721991701	0.429718876	0.62195122	0.493775934	0.460750853	0.510729614	0.38559322	0.444444444	0.320675105	0.352459016	0.239669421	0.517786561	0.215962441	0.542735043	0.494117647	0.624087591	0.610108303	0.425925926	0.355855856	0.512820513	0.716535433
Afatinib	0.388679245	0.481927711	0.516605166	0.55078125	0.432330827	0.692607004	1	0.49070632	0.507142857	0.688888889	0.535714286	0.531835206	0.298850575	0.388888889	0.482758621	0.683823529	0.240601504	0.527675277	0.221789883	0.571969697	0.458823529	0.021459227	0.288065844	0.136363636	0.553359684	0.539923954	0.394557823	0.670454545	0.389830508	0.570342205	0.349593496	0.175510204	0.315789474	0.355172414	0.369230769	0.417910448	0.711340206	0.541818182	0.534883721	0.868852459	0.286885246	0.320610687	0.644787645	0.633466135	0.40234375	0.362204724	0.412451362	0.517006803	0.596958175	0.513944223	0.587591241	0.559027778	0.300380228	0.573076923	0.536842105	0.42599278	0.441780822	0.615384615	0.61328125	0.503875969	0.5	0.403846154	0.439215686	0.435294118	0.677042802	0.575875486	0.601532567	0.578181818	0.581027668	0.559259259	0.537671233	0.556737589	0.567669173	0.534090909	0.521400778	0.526119403	0.553846154	0.687022901	0.377697842	0.601503759	0.517647059	0.602112676	0.540650407	0.320895522	0.414473684	0.322957198	0.307692308	0.229323308	0.59922179	0.186721992	0.564516129	0.545454545	0.605442177	0.592592593	0.525925926	0.360995851	0.565836299	0.815686275
Avagacestat	0.323275862	0.495145631	0.483050847	0.442060086	0.502347418	0.406015038	0.49070632	1	0.473469388	0.457564576	0.5	0.533039648	0.323809524	0.481132075	0.387205387	0.388111888	0.206278027	0.337121212	0.317708333	0.525862069	0.488038278	0.029069767	0.253731343	0.163043478	0.515981735	0.445378151	0.347490347	0.397058824	0.302238806	0.472803347	0.480874317	0.194736842	0.313807531	0.267175573	0.505102041	0.45	0.471380471	0.49382716	0.488888889	0.462962963	0.277777778	0.301369863	0.431372549	0.510822511	0.354545455	0.357142857	0.451923077	0.415441176	0.489626556	0.504716981	0.502008032	0.421245421	0.300925926	0.513043478	0.401486989	0.341365462	0.512605042	0.560869565	0.504273504	0.5	0.429951691	0.490196078	0.457142857	0.44549763	0.456692913	0.515418502	0.59375	0.600858369	0.527027027	0.538461538	0.486590038	0.530364372	0.441295547	0.489177489	0.386554622	0.480851064	0.524444444	0.471042471	0.267716535	0.409266409	0.495412844	0.53307393	0.458715596	0.290748899	0.366666667	0.316037736	0.281385281	0.192825112	0.555555556	0.216216216	0.535211268	0.508695652	0.356435644	0.355263158	0.566964286	0.427807487	0.430188679	0.435714286
Axitinib	0.28125	0.537383178	0.648888889	0.525641026	0.608490566	0.446886447	0.507142857	0.473469388	1	0.563909774	0.638655462	0.65470852	0.340807175	0.475770925	0.4778157	0.477031802	0.218487395	0.449612403	0.343137255	0.5625	0.488789238	0.020618557	0.207964602	0.1352657	0.697115385	0.6367713	0.365313653	0.513207547	0.312056738	0.62173913	0.474747475	0.203883495	0.378600823	0.265232975	0.385964912	0.538461538	0.531772575	0.593360996	0.736585366	0.469964664	0.207048458	0.30212766	0.478927203	0.601731602	0.3930131	0.410138249	0.552884615	0.567567568	0.596638655	0.603773585	0.605691057	0.585271318	0.307359307	0.684931507	0.57312253	0.448979592	0.517928287	0.674008811	0.376383764	0.626168224	0.538834951	0.54028436	0.453333333	0.502304147	0.492366412	0.600877193	0.657894737	0.614754098	0.585903084	0.7239819	0.662601626	0.65560166	0.391143911	0.697674419	0.355212355	0.669683258	0.669724771	0.5	0.284644195	0.544	0.613953488	0.554307116	0.729591837	0.302904564	0.460674157	0.321585903	0.262948207	0.195833333	0.565400844	0.21182266	0.596330275	0.628318584	0.5	0.487972509	0.698630137	0.461928934	0.550387597	0.538181818
BAY-61-3606	0.43083004	0.506224066	0.569767442	0.557768924	0.476377953	0.688976378	0.688888889	0.457564576	0.563909774	1	0.618320611	0.586614173	0.342741935	0.351648352	0.541254125	0.637681159	0.255813953	0.539622642	0.241935484	0.61023622	0.418604651	0.01754386	0.258196721	0.120833333	0.554216867	0.583333333	0.407665505	0.623134328	0.407665505	0.513011152	0.358333333	0.205128205	0.336956522	0.402173913	0.286764706	0.432950192	0.757142857	0.658730159	0.625	0.711026616	0.257142857	0.338582677	0.666666667	0.596837945	0.384313725	0.36	0.463114754	0.538461538	0.669354839	0.51417004	0.67578125	0.576512456	0.328063241	0.686192469	0.505226481	0.462406015	0.416382253	0.689795918	0.535849057	0.480620155	0.5	0.430278884	0.467479675	0.434262948	0.734693878	0.648760331	0.641434263	0.609022556	0.648535565	0.583969466	0.554385965	0.659003831	0.562737643	0.534615385	0.452830189	0.515037594	0.5546875	0.73015873	0.386029412	0.627906977	0.530120482	0.597864769	0.554166667	0.37007874	0.467128028	0.341365462	0.314606742	0.234615385	0.588235294	0.196581197	0.611814346	0.634146341	0.60137457	0.588435374	0.50929368	0.376068376	0.572463768	0.778210117
